Corredor,Lugar,Genero,Edad,Pais,Tiempo,Velocidad
8713,8915,Male,41,BRA,248.95,Regular
15726,16010,Male,44,MEX,283.75,Regular
2504,2596,Male,27,MEX,207.0166667,Regular
5617,5768,Female,40,MEX,232.3833333,Regular
12955,13208,Male,51,MEX,268.9666667,Regular
23003,23373,Male,18,MEX,408.3333333,Lento
4447,4579,Male,42,MEX,223.05,Regular
13184,13440,Male,31,PER,271.3666667,Regular
8622,8823,Female,20,MEX,244.8833333,Regular
20137,20481,Male,72,ARG,321.8666667,Lento
13834,14096,Male,46,MEX,273.5166667,Regular
5817,5974,Male,49,MEX,234.3166667,Regular
7728,7915,Male,34,MEX,240.6833333,Regular
17523,17844,Male,47,PER,295.5166667,Regular
21900,22255,Female,33,PER,347.6333333,Lento
2660,2757,Male,33,ARG,211.7,Regular
5051,5189,Female,41,PER,228.9666667,Regular
13294,13550,Male,56,BRA,273.0666667,Regular
4092,4219,Male,37,MEX,222.95,Regular
16579,16879,Female,27,MEX,288.7833333,Regular
9494,9705,Male,26,MEX,253.5666667,Regular
13736,13997,Male,28,BRA,274.2833333,Regular
645,669,Male,34,ARG,182.7666667,Veloz
4418,4549,Male,46,BRA,224.65,Regular
6645,6817,Male,42,MEX,238.25,Regular
18650,18981,Female,22,MEX,304.8333333,Lento
18434,18763,Male,50,PER,301,Lento
20980,21332,Male,41,PER,333.5833333,Lento
