,Pais,Poblacion,Categoria
1,Belize,397.621,100 a 1000
2,Costa Rica,5094.114,1000 a 20000
3,El Salvador,6486.201,1000 a 20000
4,Guatemala,17915.567,1000 a 20000
5,Honduras,9904.608,1000 a 20000
6,Mexico,128932.753,50000 a 150000
7,Nicaragua,6624.554,1000 a 20000
8,Panama,4314.768,1000 a 20000
9,Argentina,45195.777,20000 a 50000
10,Bolivia (Plurinational State of),11673.029,1000 a 20000
11,Brazil,212559.409,150000 a 250000
12,Chile,19116.209,1000 a 20000
13,Colombia,50882.884,50000 a 150000
14,Ecuador,17643.06,1000 a 20000
15,Falkland Islands (Malvinas),3.483,1 a 10
16,French Guiana,298.682,100 a 1000
17,Guyana,786.559,100 a 1000
18,Paraguay,7132.53,1000 a 20000
19,Peru,32971.846,20000 a 50000
20,Suriname,586.634,100 a 1000
21,Uruguay,3473.727,1000 a 20000
22,Venezuela,28435.943,20000 a 50000
23,Bermuda,62.273,10 a 100
24,Canada,37742.157,20000 a 50000
25,Greenland,56.772,10 a 100
26,Saint Pierre and Miquelon,5.795,1 a 10
27,United States of America,331002.647,250000 a 350000
