Pais,Poblacion
Belize,397.621 
Costa Rica,5094.114 
El Salvador,6486.201 
Guatemala,17915.567 
Honduras,9904.608 
Mexico,128932.753 
Nicaragua,6624.554 
Panama,4314.768 
Argentina,45195.777 
Bolivia (Plurinational State of),11673.029 
Brazil,212559.409 
Chile,19116.209 
Colombia,50882.884 
Ecuador,17643.060 
Falkland Islands (Malvinas),3.483 
French Guiana,298.682 
Guyana,786.559 
Paraguay,7132.530 
Peru,32971.846 
Suriname,586.634 
Uruguay,3473.727 
Venezuela,28435.943 
Bermuda,62.273 
Canada,37742.157 
Greenland,56.772 
Saint Pierre and Miquelon,5.795 
United States of America,331002.647 
