Cultivo,pH,EC,pH_5,pH_5.5,pH_5.8,pH_6,pH_6.3,pH_6.5,pH_6.8,pH_7,EC_0.8,EC_1,EC_1.2,EC_1.4,EC_1.6,EC_1.8,EC_2,EC_2.2,EC_2.3,EC_2.4,EC_2.5,EC_2.8,EC_3,EC_3.5,EC_4
Rábano,6 to 7,1.4-1.8,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Zanahoria,5.8-6.3,1.6-2.0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Brócoli,6 to 6.8,2.8 to 3.5,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
fresa,6,1.8 to 2.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Albahaca,5.5 to 6,1 to 1.6,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Repollo,6.5 to 7,2.5 to 3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Apio,6.5,1.8 to 2.4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
Lechuga,6 to 7,1.2 to 1.8,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Perejil,6 to 6.5,1.8 to 2.2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Espinacas,6 to 7,1.8 to 2.3,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
Cebollín,6.0 to 7.0,1.4  to 1.8,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Calabacita,6,1.8 to 2.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
Pepino,5 to 5.5,1.7 to 2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Pimientos,5.5 to 6,0.8 to 1.8,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Tomate,6 to 6.5,2 to 4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
